"ID","Description","Gravity","Urgency","Trend","Type","Redirection","Local","Category"
"1592","Colaborador RH Center Emulsão batendo o ponto e indo tomar café.","2","2","1","1","1","MATRIZ - VESTIÁRIOS","9"
"1593","Tampa de saída de emulsão da carreta da SYMBOLUS apresentando TACN","2","2","2","2","2","US VALE VERDE","11"
"1594","Porta do escritório administrativo não possui marcação de abertura.","1","1","1","2","2","US VALE VERDE","4"
"1595","falta de iluminação no vestiário masculino.","2","2","1","2","3","MATRIZ - VESTIÁRIOS","4"
"1596","container da enaex com vazamento quando chove","2","3","2","2","2","US AURIZONA","4"
"1597","Pneus armazenados com acúmulo de água.","2","3","2","2","2","US VALE VERDE","4"
"1598","Carreta de emulsão em operação de transbordo com a porta aberta._x000d_
_x000d_
resolvido com vê e agir.","2","2","1","1","2","US VALE VERDE","9"
"1599","durante a Transferência de nitrito de sódio para os caminhões, ocorre derramamento.","3","3","2","2","2","US VALE VERDE","9"
"1600","Sou Wagner da Ete, venho de Van nos dias trabalho. Colega Figueiredo vem de taxi, pois é amigo do Pedrinho.  poderia ver isso.","0","0","0","0","0","MATRIZ - PLANTA EMULSAO BOMBEADA IBQ","0"
"1601","Ausência de corrente de aterramento do Caminhão UMB1093.","2","3","2","2","2","US SIGMA LITHIUM","11"
"1602","Cadeado do almoxarifado do Nitrito quebrado._x000d_
Substituir cadeado.","2","2","1","2","2","US JACOBINA","4"
"1603","Sistema de bloqueio para acesso aos tanques (EBE) com cadeados destravados.","2","2","2","1","2","US JACOBINA","9"
"1604","O Ar condicionado do CB 119 não está funcionando.","2","2","2","2","2","US VALE CARAJAS","11"
"1605","torneiras do bebedouro quebradas na sala da vivência no paiol em Carajás","2","2","2","2","2","US VALE CARAJAS","4"
"1606","carreta de licor com valvula de dreno em latao","3","2","2","2","1","MATRIZ - PLANTA EMULSAO BOMBEADA IBQ","1"
"1607","antena de camionete, em local , não apropriado. do lado da sirene de emergência.","2","2","1","2","2","US VALE CARAJAS","11"
"1608","O Ar condicionado do CB 119 não está funcionando.","0","0","0","0","0","US VALE CARAJAS","0"
"1609","O Ar condicionado do CB 119 não está funcionando.","2","2","2","2","2","US VALE CARAJAS","11"
"1610","passarela do UMB CB 124 danificada com dois furos podendo ocasionar acidentes!!!","2","3","2","2","2","US VALE CARAJAS","11"
"1611","polígono R6W_052_002 sem local para estacionamento de caminhonete _x000d_
_x000d_
_x000d_
foi solicitado a confecção de baias para estacionamento","2","2","1","2","2","US ATLANTIC NICKEL","4"
"1612","bloco solto no polígono R5b_010_902, com risco de queda_x000d_
_x000d_
área isolada e solicitado limpeza do talude.","3","3","2","2","2","US ATLANTIC NICKEL","6"
"1613","UMB 1008 sem pneu de socorro","2","3","2","2","2","US ATLANTIC NICKEL","11"
"1614","falta de sinalização na saída da lavra do polígono R09_118_003_x000d_
_x000d_
foi solicitado placas de sinalização no local.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"1615","sinalização deficiente do polígono F6W 082 pré corte (sem placa da área de perfuração)_x000d_
_x000d_
foi solicitado a colocação de placas na área.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"1616","Polimix Santana 05.06.23_x000d_
Carregamento de matacos perigo de queda ou torção._x000d_
Avaliação dos matacos e piso.","3","3","2","2","2","OPERAÇÕES -  SÃO PAULO","6"
"1617","pintar a porta","1","1","1","2","2","US MANGANES","4"
"1618","Embu Mogi 02.06.23._x000d_
Avaliação do boretrak. _x000d_
Furos leves no pé aterrar até o previsto seguro para carregar.","2","2","2","2","2","OPERAÇÕES -  SÃO PAULO","9"
"1619","Embu Mogi 02.06.23_x000d_
carregamento e desmonte ._x000d_
Furos vazados com 7 mts._x000d_
Ações medir o furo para saber com quantos mts está após calcular a carga se não tiver excesso de carga completar com cartucho até o tampão previsto.","2","2","2","2","2","OPERAÇÕES -  SÃO PAULO","9"
"1620","Pneu da empilhadeira careca bastante gasto,vazando óleo das mangueiras do hidráulica.","2","3","2","2","1","MATRIZ - PLANTA EMULSAO BOMBEADA IBQ","11"
"1621","teste","0","0","0","0","0","CD PARANA","0"
"1622","Foi encontrado um cabo de vassoura no lago da enaex, na área de descanso","1","1","1","1","3","MATRIZ - GUARITA","4"
"1623","Banheiro precisando de reforma da área de vivência, pois o mesmo está muito ruim para uso pessoal","2","3","2","2","2","US VALE CARAJAS","4"
"1624","Torneiras do bebedouro da área de vivência danificada!","2","2","2","2","2","US VALE CARAJAS","4"
"1625","passarela do umb CB 124 apresenta dois furos em seu interior, precisando de melhorias urgente, risco de acidente...","2","3","2","2","2","US VALE CARAJAS","11"
"1626","Técnico de segurança precisa está no horário para entrega de epis","0","0","0","0","0","US VALE CARAJAS","0"
"1627","telhado da área de vivência está precisando de uma melhoria.","2","2","2","2","2","US VALE CARAJAS","4"
"1628","falta de corrimão e guarda corpo em frente a caixa SAO. Risco de queda e torção.","2","2","2","2","1","CD PARANA","11"
"1629","acesso pra o polígono R6A 046-010 com risco de danificar o nossa UMB comuniquei ao meu supervisor pra pedir apoio de melhoria no acesso do polígono","3","3","2","2","2","US ATLANTIC NICKEL","6"
"1630","CB-2084 da Empresa Fagundes não respeitou a placa de pare comuniquei via rádio para o mesmo respeitar as placas de sinalização","2","2","2","1","2","US ATLANTIC NICKEL","6"
"1631","Acúmulo de caixas para serem queimadas, causando um falta de organização e limpeza. _x000d_
já foi solicitado a queima das caixas.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"1632","Escorva enrolada em pedra afiada, podendo assim danificar o cabo M50. Foi orientado a toda equipe as causas coniventes desta prática.","2","2","2","1","2","US ATLANTIC NICKEL","9"
"1633","Balde Sujo de Emulsão em local de descarte de material (papelão, caixas e fios), local inapropriado para seu destino.","2","3","2","2","2","US ATLANTIC NICKEL","4"
"1634","Fase 08_118_002 sem local adequado para estacionamento das Caminhonetes. Foi solicitado ao Supervisor da empresa responsável.","2","2","2","2","2","US ATLANTIC NICKEL","6"
"1635","conector da espoleta DVT  sobre à água, podendo ocasionar aumento na fuga da corrente ao temporizar. foi orientado a todos os envolvidos as causas desta prática.","2","2","2","1","2","US ATLANTIC NICKEL","9"
"1636","Conector da espoleta eletrônica, submerso em água na Fase 08”. 118-002. Podendo ocasionar Fuga no detonador.","2","2","2","1","2","US ATLANTIC NICKEL","9"
"1637","Desvio CTR","2","3","2","1","4","MATRIZ - MEIO AMBIENTE","9"
"1638","operaador não esperou o auxiliar descer e tirar o trava quedas para funcionar o veículo._x000d_
o procedimento é o operador ficar fora do veiculo","2","2","2","1","2","US VALE CARAJAS","9"
"1639","Escada de acesso do PRD 32 até a central de vapor está muito lisa, podendo provocar um acidente","2","2","2","2","1","MATRIZ - PLANTA NITROPENTA","4"
"1640","já foi corrido.","0","0","0","0","0","US VALE CARAJAS","0"
"1641","Tomada para carregamento de equipamentos DVT com defeito, podendo ocasionar choque elétrico ou princípio se incêndio.","2","3","2","2","2","US ATLANTIC NICKEL","11"
"1642","porta do depósito de ferramentas com as travas quebradas.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"1643","Trava de segurança do cinto parquedista danificado._x000d_
podendo ocasionar uma queda durante seu uso.","3","3","3","2","2","US ATLANTIC NICKEL","2"
"1644","muitas caixas armazenadas de forma inadequada.","2","2","2","1","2","US ATLANTIC NICKEL","9"
"1645","ferramentas em mas condições de uso armazenadas no depósito, necessitando de reparos.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"1646","caminhão UMT 1041 com mola dianteira lado esquerdo segundo eixo quebrada, veículo parado para manutenção e feito a troca.","2","3","2","2","2","US ANGLO AMERICAN","11"
"1647","Retrovisor da UMB 1068 danificado. Acionado o mecânico e sanado de imediato.","2","2","1","2","2","US CARAIBA","11"
"1648","Blaster do cliente enrolando mantopim de forma errada. Podendo gerar problema na iniciação.","2","3","2","1","2","US CARAIBA","9"
"1649","Operador de UMB iniciou o carregamento sem retirar a amostra. Vindo a retirar após carregar alguns furos.","2","3","2","1","2","US CARAIBA","9"
"1650","Escada lisa ma embalagem.","2","2","2","2","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","4"
"1651","Copo de densidade e painel de operações da UMB 1080 muito sujo. Solicitado a limpeza de imediato.","2","2","1","1","2","US CARAIBA","4"
"1652","UMB 1079 faltando um luz lateral.","2","2","2","2","2","US CARAIBA","11"
"1653","BC 50 W,sem acesso para inícios das atividades, sem condições de acesso das UMBs e veículos de apoio       _x000d_
_x000d_
_x000d_
_x000d_
_x000d_
O técnico da equipe solicitou o apóio da Pá carregadeira da Metal ar para resolução do problema e iniciar o bombeamento após a abertura das leiras na bancada.","0","0","0","0","0","US MOSAIC CAJATI","0"
"1654","BC 50 W ,sem acesso para inícios das atividades, sem condições para acesso das UMBs e veículos de apoio .","3","3","2","2","2","US MOSAIC CAJATI","6"
"1655","Colaborador RH Center (Emulsão encartuchada), batendo o ponto todos os dias e subindo para o refeitório tomar café._x000d_
Horário: 6:48h_x000d_
Área Monitorada.","1","1","1","1","3","MATRIZ - VESTIÁRIOS","9"
"1656","Colaborador RH Center (Emulsão) atravessando na faixa de pedestres digitando no celular._x000d_
Data: 05/06/2023_x000d_
Horário Aprox.: 6h45","1","1","1","1","3","MATRIZ - VESTIÁRIOS","6"
"1657","Colaborador descendo as escadas do restaurante em direção aos vestiários digitando no celular.","1","1","1","1","3","MATRIZ - RESTAURANTE","6"
"1658","Prezados boa noite!_x000d_
Hoje um colaborador da Panamerican,  Estava sem a va que transporta o material de carregamento e pediu para levar a sobra pra ele. eu falei Coloca na Caixa solidária, O blaster colocou tudo junto e conectado se eu não vou Olha poderia ter acontecido um acidente com Explosivo.","4","3","4","1","2","US JACOBINA","9"
"1659","fogo cava norte no dia 05/06_x000d_
estava com acesso lateral, próximo do talude sem lera de proteção.","3","3","2","2","2","US MARACA","9"
"1660","torneiras do bebedouro quebradas da área de vivência","2","2","2","2","2","US VALE CARAJAS","4"
"1661","Entre a central de vapor 1 e o X Booster a escada de acesso encontra-se escorregadia com risco de queda.","2","2","2","1","1","MATRIZ - CENTRAL VAPOR 1","4"
"1662","Situação irregular de limpeza e organização na copa. A limpeza foi realizada em que o desvio foi encontrado.","2","2","1","1","2","US VALE CARAJAS","4"
"1663","Trava de segurança do cinto pára-quedista danificado,  podendo ocasionar um mau uso, ou até mesmo um acidente.","0","0","0","0","0","US ATLANTIC NICKEL","0"
"1664","Liquiport ELBL.._x000d_
_x000d_
Colaborador andando em local nao apropriado._x000d_
_x000d_
Risco de quedas....","2","3","2","1","2","OPERAÇÕES -  PLASMA","6"
"1665","Veículo ARY-8893 programado pra atendimento na Megaype Mineração desde as 06:00 que o veículo está com bloquei","2","3","2","2","2","OPERAÇÕES -  PERNAMBUCO","11"
"1666","O rastreado travou a UMB na fábrica,atrasando e comprometendo o atendimento no cliente.","2","3","2","2","2","OPERAÇÕES -  PERNAMBUCO","11"
"1667","Ao realizar o Check-list, o operador identificou falha em um dos freios ( retardel) no caminhão AYZ-3502.","3","3","2","2","2","US CSN","11"
"1668","Foi identificado pontalete quebrado no caminho seguro do Paiol II, devido à ressecamento.","2","2","2","2","2","US CSN","4"
"1669","Giroled da caminhonete RMQ-8I44 não está funcionando.","2","2","2","2","2","US CSN","11"
"1670","Estacionamento das UMB’s sem identificação.","2","2","2","2","2","US CSN","4"
"1671","Desvio CTR","0","0","0","0","0","MATRIZ - MEIO AMBIENTE","0"
"1672","A lixeira que tem fora do prédio da manutenção encontra-se quebrada podendo ocasionar um incidente.","2","2","2","2","3","MATRIZ - MANUT. INDUSTRIAL","4"
"1673","Caminhão RHX-3E92 está sem estepe.","2","3","2","2","2","US CSN","11"
"1674","Lanterna traseira, do lado direito do caminhão BCT-0J67 está queimada.","2","3","2","2","2","US CSN","11"
"1675","Durante a realização do Check-list, o colaborador identificou que o estepe do Gol RNY-7F03 estava furado.","2","3","2","2","2","US CSN","11"
"1676","Saboneteira do banheiro feminino sem identificação.","1","1","1","2","2","US CSN","4"
"1677","Extintor de incêndio do Paiol II se encontrava despressurizado.","4","4","3","2","2","US CSN","2"
"1678","Praça de carregamento com furos fora de malha, ocasionando riscos.","2","2","2","1","2","US CSN","9"
"1679","Praça de carregamento com piso irregular.","3","3","2","2","2","US CSN","6"
"1680","Papeleira do banheiro feminino sem a devida identificação.","1","1","1","2","2","US CSN","4"
"1681","Materiais de obra deixado no caminho de passagem sem a devida identificação.","2","2","2","1","2","US CSN","4"
"1682","Caminhonete RMQ-8I44 está com o estepe furado.","2","3","2","2","2","US CSN","11"
"1683","Motorista do veículo da segurança patrimonial não está utilizando cinto de segurança.","3","3","2","1","3","MATRIZ - FACILITIES","9"
"1684","Giroled da caminhonete RMQ-8I44 não está funcionando.","0","0","0","0","0","US CSN","0"
"1685","Giroled da caminhonete RMQ-8I44 não está funcionando.","2","2","2","2","2","US CSN","11"
"1686","colaborado executando uma atividade de remoção de coleta coletiva ,não fazendo o uso do equipamento de EPI adequado...","2","3","2","1","2","CD PARANA","2"
"1687","Na elevatória 250 , próximo ao vestiário não existe caminho seguro para acesso, seria necessário uma faixa de pedestres para travessia.","2","2","1","2","1","MATRIZ - ESTACAO DE TRATAMENTO DE EFLUENTES","6"
"1688","Necessidade de aquisição de trava rodas para caminhão AUX-6264. Material já adquirido, aguardando envio.","0","0","0","0","0","US MOSAIC TAPIRA","0"
"1689","Liquiport ELBL. _x000d_
_x000d_
Máquina, cimento e pregos armazenado de forma inadequada...","2","2","2","1","2","OPERAÇÕES -  PLASMA","4"
"1690","Liquiport ELBL. _x000d_
_x000d_
Placa de conscientização de area organizada tampada por sacola de pão. _x000d_
_x000d_
Área totalmente desproporcional onde teoricamente esta sinalizada.","2","2","2","1","2","OPERAÇÕES -  PLASMA","4"
"1691","Liquiport ELBL. _x000d_
_x000d_
Motosserra da civil Liquiport guardado encima da mesa, local improprio. Risco de cair, quebrar.","2","2","2","1","2","OPERAÇÕES -  PLASMA","4"
"1692","Liquiport ELBL. _x000d_
_x000d_
Placa de conscientização de area organizada tampada por sacola de pão. _x000d_
_x000d_
Área totalmente desproporcional onde teoricamente esta sinalizada.","0","0","0","0","0","OPERAÇÕES -  PLASMA","0"
"1693","Liquiport ELBL. _x000d_
_x000d_
Colaborador Liquiport trabalho em altura sem as mínimas condições de segurança.","3","3","2","1","2","OPERAÇÕES -  PLASMA","2"
"1694"," colaborador não está usando do a luva corretamente  quando vai para o elevador","1","2","2","1","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","2"
"1695","Liquiport ELBL. _x000d_
_x000d_
Material supostamente de arquivo morto espalhado próximos ao refeitório. _x000d_
_x000d_
Risco de aparecimento de roedores.","2","2","2","1","2","OPERAÇÕES -  PLASMA","4"
"1696","Liquiport ELBL.._x000d_
_x000d_
_x000d_
Carros Liquiport estacionados de forma irregular...Corretamente seria de re, porém todos de frente.","2","2","2","1","2","OPERAÇÕES -  PLASMA","9"
"1697","funcionário da Infrasul sem o uso da perneira","2","3","2","1","2","OPERAÇÕES -  PARANA","2"
"1698","cliente Triunfo Rebouças, acesso escorregadiu, risco de encalhar.","3","3","3","2","2","OPERAÇÕES -  PARANA","6"
"1699","funcionários da Klabin, próximo ao talude com fratura e possibilidade de demorar...cliente Infrasul Imbau","3","3","2","1","2","OPERAÇÕES -  PARANA","6"
"1700","Cliente , Triunfo Rebouças. Acesso íngreme risco de atolar a UMB","3","3","3","2","2","OPERAÇÕES -  PARANA","6"
"1701","triunfo Rebouças, acesso a bancada irregular, risco de torção.","0","0","0","0","0","OPERAÇÕES -  PARANA","0"
"1702","Boca de lobo abrindo um buraco na lateral do mesmo, fica próximo o container de café da área da embalagem da emulsão encartuchada.","2","2","2","2","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","4"
"1704","vamos tomar cuidado pessoau uso de epi colaboradores da sondagem emcima leira","3","3","2","1","2","US COLOMI IRON","6"
"1705","empilhadeiras não possui chave geral para bloqueio elétrico.","3","3","3","2","2","US VALE CARAJAS","11"
"1706","nosso colega com os motores liga fasendo abastecimemto sem o uso do abafador de ouvido","2","3","2","1","2","US COLOMI IRON","2"
"1707","cliente Triunfo Rebouças,  acesso escorregadiu","0","0","0","0","0","CD PARANA","0"
"1708","dois colaboradores de uma terceira,sem o uso do EPI em cima da leira descumprindo a ordem,o uso do EPI e essencial para a nossa segurança.","3","3","2","1","2","US COLOMI IRON","2"
"1709","taco sobre bancada de inspeção do PRD 433 fora da área destinada. entre as chapas de proteção","2","3","2","1","1","MATRIZ - PLANTA MISTO AZIDA","9"
"1710","Taco de espoleta sobre bancada de inspeção fora da proteção divisória da mesa.","2","3","2","1","1","MATRIZ - PLANTA MISTO AZIDA","9"
"1711","colaboradornda empresa casa bella utilizando óculos de segurança no brinel em péssimas condições","2","2","2","1","1","MATRIZ - PLANTA MONTAGEM BRINEL","2"
"1712","Proteção do banco da caminhonete SI11 está danificado.","2","2","2","2","2","US SOSSEGO","4"
"1713","placa caída no acesso  fase 5","2","2","1","2","2","US SOSSEGO","4"
"1714","cadeado quebrado do armário do colaborador","1","1","1","2","2","US SOSSEGO","4"
"1715","Polígono M1_194_017a com acesso crítico, muito material solto na praça.","3","3","2","2","2","US SOSSEGO","6"
"1716","Veículos estacionados irregularmente na entrada da empresa.","2","2","2","1","3","MATRIZ - PORTARIA","6"
"1717","Leira de segurança do banheiro químico, obstruindo metade da passagem para o hidrante.","2","3","2","2","2","US SOSSEGO","6"
"1718","Sinalização dos paletes no material de campo, faltando colocar a corrente.","2","2","1","1","2","US SOSSEGO","4"
"1719","leira fora do padrão fogo cava norte banco 280","3","3","2","1","2","US MARACA","9"
"1720","armário da cantina","0","0","0","0","0","US MARACA","0"
"1721","Polígono_230518_290_CN, encontra-se sem leira de proteção em uma parte do fogo. Porém, já foi isolada área para segurança de todos.","3","3","2","1","2","US MARACA","9"
"1722","Polígono 230528_280_CN_x000d_
_x000d_
Leira de proteção fora do padrão.","3","3","2","1","2","US MARACA","9"
"1723","Leira fora do padrão_x000d_
Polígono 230528_280_CN_x000d_
polígono da cava norte.","3","3","2","1","2","US MARACA","9"
"1724","leira fora do padrão na cava norte banco 280","3","3","2","1","2","US MARACA","9"
"1725","papelão descartado em lugar inadequado","2","2","2","1","2","US MARACA","4"
"1726","porta debaixo do balcão lava louça trincado.","1","1","1","2","2","US MARACA","4"
"1727","Trava rodas da camionete se quebrou, devido a um parafuso que começou a se barbear.","1","2","2","2","2","US MSC PATROCINIO","11"
"1728","Calça do colaborador da Enaex em condições ruim, já foi solicitado a troca da calça.","2","2","1","2","2","US MARACA","2"
"1729","leira fora do padrão fogo cv norte banco 280 ,","3","3","2","1","2","US MARACA","9"
"1730","leira da crista da bancada de carregamento com explosivos na cava Norte fora do padrão.","3","3","2","1","2","US MARACA","9"
"1731","região de muito material solto na Crista fogo cv norte banco 280.","3","3","2","2","2","US MARACA","6"
"1732","camera ré UMT 1042. foi entregue pra nossa US sem o funcionamento até hj não foi corrigido (ajuda visibilidade manobra de ré)","2","3","2","2","2","US MARACA","11"
"1733","caminhão com trinca no tanque, e com pequena infiltração.","2","3","2","2","2","US MARACA","11"
"1734","blastbag coloca muito fundo no furo dando dificuldade na operação.","2","3","2","1","2","US MARACA","9"
"1735","carregamento de fogo cava norte dia 06/06 com lavra, sem a lera adequada dentro do procedimento .","2","3","2","1","2","US MARACA","9"
"1736","Polígono 230528_280_CN","0","0","0","0","0","US MARACA","0"
"1737","leira fora do padrão fogo 280528 banco 280 CV  norte","3","3","2","1","2","US MARACA","9"
"1738","grade da canaleta próximo as EBEs com abertura podendo ocasionar queda em ambiente de mesmo nível.","3","4","4","2","2","US ATLANTIC NICKEL","4"
"1739","leira abaixo do procedimento.","3","3","2","1","2","US MARACA","9"
"1740","armário da cantina","0","0","0","0","0","US MARACA","0"
"1741","Lâmpada queimada da sala de armários que dá acesso para o banheiro na ária de vivência próximo a fábrica.","2","2","1","2","2","US VALE CARAJAS","4"
"1742","Falta de rodada no portão de entrada de carretas na área de descarregamento de Nitrato.","2","2","2","2","2","US VALE CARAJAS","11"
"1743","mecanico Gerson leal trabalhando mechendo com manutenção de caminhão sem utilisar EPIs","3","3","3","1","2","US VALE CARAJAS","2"
"1744","pane elétrica no farol da EPC 1013. foi acionado a manutenção  e já está  funcionando normal.","2","2","1","2","2","US VALE CARAJAS","11"
"1745","cerca de proteção dos beg de nitrato próximo ao cilo de nitrato, acesso ao estacionamento dos equipamentos, escritório e oficina. risco de queda e acidente por colisão.","2","3","2","2","2","US VALE CARAJAS","4"
"1746","paletes passando do limite de empilhamento,  encostando na cerca  .","2","2","2","1","2","US VALE CARAJAS","4"
"1747","cerca de proteção dos beg de nitrato próximo ao cilo de nitrato, acesso ao estacionamento dos equipamentos, escritório e oficina. risco de queda e acidente por colisão.","0","0","0","0","0","US VALE CARAJAS","0"
"1748","lâmpada da sala de vivência dos armários da unidade próximo a fábrica de explosivos com defeito próximo aos banheiros.","2","2","1","2","2","US VALE CARAJAS","4"
"1749","Colaborar descendo as escadas mexendo no celular","3","2","2","1","3","MATRIZ - PREDIO ADMINISTRATIVO","6"
"1750","Lampada com defeito da ária de vivencia próximo a fábrica na sala de armários que dá acesso para banheiros.","2","2","2","2","2","US VALE CARAJAS","4"
"1751","polígono R5b 004 901 sem placa de indicação de área carregada. _x000d_
_x000d_
foi realizado a correção de imediato","2","2","1","1","2","US ATLANTIC NICKEL","4"
"1752","Barra galvanizado em local indevido, risco de pessoas tropeçarem.","2","2","2","1","2","US ATLANTIC NICKEL","4"
"1753","verificar status de instalação de novas tomadas e tomada individual para ar condicionado","0","0","0","0","0","US ATLANTIC NICKEL","0"
"1754","verificar status com a elétrica da Atlantic Nickel sobre instalação de novas tomadas e circuito independente para instalar ar condicionado na sala","0","0","0","0","0","US ATLANTIC NICKEL","0"
"1756","sirene de ré da caminhonete Tag ENX022 com mau funcionamento _x000d_
_x000d_
realizar a parada do veículo para realizar a manutenção","2","3","2","2","2","US ATLANTIC NICKEL","11"
"1757","suporte para copos descartáveis da área da fábrica danificado.","2","2","2","2","2","US S11D","4"
"1758","Desingripante deixado dentro da caminhonete 1KD250.","1","1","1","1","2","US S11D","4"
"1759","Recipiente de plástico descartado em local inapropriado.","1","1","1","1","2","US S11D","4"
"1760","matérias de jardinagem descartado em local impróprio","1","1","1","1","2","US MANGANES","4"
"1761","Cadeira fora do lugar após o uso","1","1","1","1","2","US S11D","4"
"1762","Mesa de rádios sem identificação do local das baterias e carregadores.","1","1","1","2","2","US S11D","4"
"1763","TAG do ônibus 1BC706 está precisando de substituição pois está caindo. Foi informado ao responsável da empresa para fazer a substituição.","1","1","1","2","2","US S11D","4"
"1764","Garrafa vazia acondicionada em local inapropriado, no micro-ônibus dá ANNEL.","1","1","1","1","2","US S11D","4"
"1765","Tampa metálica do bebedouro está sem o parafuso, não permitindo a vedação completa.","2","2","2","2","2","US S11D","11"
"1766","Porta do banheiro da fábrica não abre por completo, por conta de mochila pendurada próximo as dobradiças.","1","1","1","1","2","US S11D","4"
"1767","Paleta de Madeira acondicionado em local inapropriado.","2","2","2","1","2","US S11D","4"
"1768","Base de testar condutividade das botinas anti-estaticas está em manutenção sem uma placa de identificação.","1","1","1","1","2","US S11D","4"
"1769","portas do armário do laboratório da fábrica danificado.","2","2","2","2","2","US S11D","4"
"1770","Liquiport ELBL. _x000d_
_x000d_
_x000d_
Equipe de sondagens Liquiport,  trabalhando sem isolamento e identificação das atividades","2","2","2","1","2","OPERAÇÕES -  PLASMA","9"
"1771","o guarda corpo do paiol do almoxarifado não estava colocado em momento em que nao tinha operacao de carga e descarga, podendo ocasionar o risco de queda do colaborador.","3","4","4","1","2","CD PARANA","2"
"1772","Mantas antigas desenterrado..._x000d_
_x000d_
Separado pra manutenção e remontagem.","0","0","0","0","0","OPERAÇÕES -  PLASMA","0"
"1773","Liquiport ELBL. _x000d_
_x000d_
Vala aberta pela Liquiport sem isolamento e identificação..._x000d_
_x000d_
Com agua e larvas do mosquito da dengue. _x000d_
_x000d_
Solicitado a correção junto a Eng. Liquiport.","2","3","2","1","2","OPERAÇÕES -  PLASMA","4"
"1774","Liquiport.._x000d_
_x000d_
Colaborador da sondagem sem as mínimas condições parabtrabalho em altura.","3","3","2","2","2","OPERAÇÕES -  PLASMA","2"
"1775","Liquiport ELBL. _x000d_
_x000d_
Antiga galeria sem sem isolamento e identificação. _x000d_
_x000d_
_x000d_
Risco de queda e afogamento, leito de água com mais de três metros.","2","3","2","1","2","OPERAÇÕES -  PLASMA","4"
"1776","Liquiport ELBL. _x000d_
_x000d_
Sondagem Liquiport trabalhando sem isolamento da área._x000d_
_x000d_
Risco de quedas e atropelamento por equipamentos locados na obra.","2","2","2","1","2","OPERAÇÕES -  PLASMA","4"
"1777","Liquiport..._x000d_
_x000d_
Garrafa de café encima so tambor de diesel, pessoal da sondagem Liquiport.","1","1","1","1","2","OPERAÇÕES -  PLASMA","4"
"1778","Liquiport ELBL. _x000d_
_x000d_
Colaborador ELBL transportando corrente sem luvas..._x000d_
_x000d_
Orientado e corrigido.","2","3","2","1","2","OPERAÇÕES -  PLASMA","2"
"1779","Mantas antigas desenterrado..._x000d_
_x000d_
Separado pra manutenção e remontagem.","2","2","1","2","2","OPERAÇÕES -  PLASMA","4"
"1780","Liquiport ELBL. _x000d_
_x000d_
Concha britadora gerando poeiras para a obra e sentido comunidade.","2","2","2","2","2","OPERAÇÕES -  PLASMA","4"
"1781","Liquiport.._x000d_
_x000d_
Colaborador da sondagem sem as mínimas condições parabtrabalho em altura.","0","0","0","0","0","OPERAÇÕES -  PLASMA","0"
"1782","operador terceiro TGA com manga curta. Orientado.","2","2","1","1","1","MATRIZ - PLANTA EMULSAO BOMBEADA IBQ","2"
"1783","Liquiport ELBL. _x000d_
_x000d_
Colaborador ELBL transportando corrente sem luvas..._x000d_
_x000d_
Orientado e corrigido.","0","0","0","0","0","OPERAÇÕES -  PLASMA","0"
"1784","Liquiport ELBL. _x000d_
_x000d_
Excesso de poeira na obra._x000d_
_x000d_
Nao tem caminhão pipa para umidadaçao.","2","2","2","2","2","OPERAÇÕES -  PLASMA","4"
"1785","Liquiport ELBL._x000d_
_x000d_
_x000d_
Rompedor trabalhando abaixo do negativo rochoso..._x000d_
_x000d_
Avisado o operador dos riscos de queda de matéria acima.","3","3","2","1","2","OPERAÇÕES -  PLASMA","6"
"1786","Votorantim Santa Isabel _x000d_
Acesso sem manobra, UMB andou uma boa parte de ré.","3","3","2","2","2","OPERAÇÕES -  SÃO PAULO","6"
"1787","Pedreira Luman _x000d_
Banco com Desnivel_x000d_
Atenção  com torção","3","3","2","2","2","OPERAÇÕES -  SÃO PAULO","6"
"1788","cerca do paio ouro preto caída com perigo de entrada de felinos","2","3","2","2","2","US TABOCA","4"
"1789","parede da antiga fábrica com risco de queda","3","3","2","2","2","US TABOCA","4"
"1790","escritório da enaex  sem impressora","0","0","0","0","0","US TABOCA","0"
"1791","pista de rolamento com muita poeira com pouca visibilidade na hora de trafegar","2","2","2","2","2","US TABOCA","6"
"1792","colaboradores enaex sem um local de descanso depois da refeição._x000d_
nós fica muitas das vezes no sol quente pq nem no escritório podemos ficar pq a cliente reclama 😕","2","2","2","2","2","US TABOCA","0"
"1793","escada de acesso ao piso superior muito inclinada, muito riscos de quedas","3","2","2","2","1","MATRIZ - PLANTA ANFOMAX","6"
"1794","Colaborador RH Center, batendo o ponto e indo tomar café todps os dias._x000d_
_x000d_
Horário: 6h49","2","2","2","1","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","9"
"1795","colaboradores não utiliza os epis no elevador","3","3","2","1","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","2"
"1796","Bomba de diafragma de transferência de emulsão da carreta para o tanque estourou o diafragma, sendo impossível o seu funcionamento.","2","3","2","2","2","US CSN","11"
